product_id,full_price,discounted,current_price,product_url,description,ratings,reviews
FN0028-401,55,False,55.0,https://www.nike.com/t/alpha-menace-4-shark-football-cleats-R3RCjP/FN0028-401,"Change the game in a flash with the Alpha Menace 4 Shark. With breathable mesh and synthetic leather harmonizing perfectly with our Nike Fastflex technology, it can help you make a game-saving tackle or hightail it to pay dirt.Shown: Midnight Navy/Metallic Silver/Obsidian/WhiteStyle: FN0028-401",0 Stars,0
AT5889-004,120,True,100.97,https://www.nike.com/t/nikepremier-3-firm-ground-soccer-cleats-SZHrPF/AT5889-004,The Nike Premier 3 gets back to the basics with a timeless silhouette wrapped in supple real and synthetic leather—helping you to move confidently as an unstoppable force on the field.Shown: Metallic Silver/Volt/BlackStyle: AT5889-004,4.6 Stars,75
DZ3309-104,65,False,65.0,https://www.nike.com/t/air-max-1-easyon-baby-toddler-shoes-JXdHSC/DZ3309-104,"Made for kids (and their squirmy feet), these Air Max Shoes have an easy-on system that makes putting them on a breeze. The laces are just for show—the entire lace area lifts up, making a large slip-in space, so getting their shoes on doesn’t have to be a struggle.Shown: White/Neutral Grey/Black/Game RoyalStyle: DZ3309-104",5 Stars,4
FD0088-100,130,False,130.0,https://www.nike.com/t/huarache-9-elite-lax-lacrosse-cleats-r025t2/FD0088-100,"Take it to the rack in the Huarache 9 Elite. Whether you’re ripping around the cage, going coast-to-coast or scooping up the ball on a dead run, these cleats can help you decide the result. We loaded it with multidirectional traction and made it more flexible compared to the 8, so you can impact the game from any position.Shown: White/White/Metallic Vivid GoldStyle: FD0088-100",0 Stars,0
DV4351-700,57,False,57.0,https://www.nike.com/t/jr-tiempo-legend-10-academy-little-big-kids-turf-low-top-soccer-shoes-h7Vsvr/DV4351-700,"Even Legends find ways to evolve. Made to take your game to the next level, the latest iteration of these Academy shoes has all-new FlyTouch Lite engineered leather. Softer than natural leather, it conforms to your foot and doesn't overstretch, so you can dictate the pace of your game. Lighter and sleeker than any other Tiempo to date, the Legend 10 is for any position on the field, whether you're sending a pinpoint pass through the defense or tracking back to stop a breakaway.Shown: Lemonade/Metallic Gold Coin/BlackStyle: DV4351-700",4.8 Stars,23
DZ3547-004,140,False,140.0,https://www.nike.com/t/versair-womens-workout-shoes-XxrnT6/DZ3547-004,"What's on the agenda today? Legs? Cardio? Fitness class? In the agile and flexible Versair, you can get after a wide range of workouts. Low to the ground and featuring a Zoom Air unit designed with female athletes in mind, it's ideal for wherever your fitness journey takes you.Shown: Platinum Violet/White/Light Violet Ore/Metallic PlatinumStyle: DZ3547-004",4.6 Stars,16
DX9043-003,50,False,50.0,https://www.nike.com/t/tanjun-easyon-baby-toddler-shoes-Lpnk7T/DX9043-003,"Made for kids (and their squirmy feet), these Air Max Shoes have an easy-on system that makes putting them on a breeze. The laces are just for show—the entire lace area lifts up, making a large slip-in space, so getting their shoes on doesn’t have to be a struggle.Shown: Black/White/WhiteStyle: DX9043-003",4.7 Stars,38
DZ3309-111,65,True,42.97,https://www.nike.com/t/air-max-1-easyon-baby-toddler-shoes-CskhV7/DZ3309-111,"Made for kids (and their squirmy feet), these Air Max Shoes have an easy-on system that makes putting them on a breeze. The laces are just for show—the entire lace area lifts up, making a large slip-in space, so getting their shoes on doesn’t have to be a struggle.Shown: White/Dark Team Red Heather/Pure Platinum/BlackStyle: DZ3309-111",5 Stars,4
FN0228-700,90,False,90.0,https://www.nike.com/t/journey-run-mens-road-running-shoes-Qg3sJk/FN0228-700,"Enjoy every step, route and jaunt in the Nike Journey Run. It’ll have you striding and smiling on punishing pavements, thanks to extra-high foam stacks supersoft ComfiRide cushioning. It's so comfortable that you'll already be looking forward to lacing 'em up again.Shown: Barely Volt/Volt/White/BlackStyle: FN0228-700",5 Stars,2
DJ5615-700,72,True,49.97,https://www.nike.com/t/jr-mercurial-superfly-9-academy-little-big-kids-indoor-court-high-top-soccer-shoes-ftWCVZ/DJ5615-700,"You've got the skills, you've got the game. Now show them off with the Nike Jr. soccer shoes. Designed for speed and agility, Zoom Air units help absorb impact and give you snappy cushioning. Pull tabs and dual straps combine for an easy-on design that eliminates the need for laces and helps get you on the pitch fast.Shown: Lemonade/BlackStyle: DJ5615-700",5 Stars,3
DZ0502-001,75,False,75.0,https://www.nike.com/t/air-diamond-varsity-turf-mens-baseball-shoes-FHBH4v/DZ0502-001,"Add some vibrant pop to your pregame routine, and put your opponents on notice that’s it going to be a long day once the first pitch is thrown. Whether you’re stepping into a long-toss session, jacking balls in the cage, or working on your takeoff from 1st to 2nd, these shoes can get you game-ready with flair on your feet.Shown: Wolf Grey/Cool Grey/Pure Platinum/WhiteStyle: DZ0502-001",4.6 Stars,5
FD0090-100,85,False,85.0,https://www.nike.com/t/huarache-9-varsity-lax-lacrosse-cleats-Z0tsjC/FD0090-100,"Take it to the rack in the Huarache 9 Varsity. Designed for both offensive-minded playmakers and defensive aces alike, these cleats deliver flexibility, speed and comfort so you can play well from anywhere on the field. The light, breathable upper and multidirectional support help keep you fresh for your match.Shown: White/White/Metallic Vivid GoldStyle: FD0090-100",0 Stars,0
DM9027-107,62,False,62.0,https://www.nike.com/t/omni-multi-court-big-kids-indoor-court-shoes-xbrQcw/DM9027-107,"What’s Omni, you ask? It means universal, inclusive and all—like for all your indoor sport needs. Durable and lightweight, they help make moving fast feel easy. Choose their favorite indoor court activity—volleyball, basketball, tennis, handball, or gym class—and lace up!Shown: White/Vapor Green/Total Orange/Photo BlueStyle: DM9027-107",4.5 Stars,50
DX2498-600,105,True,89.97,https://www.nike.com/t/air-zoom-pegasus-40-big-kids-road-running-shoes-lQJf8F/DX2498-600,"40 years. Generations of running. The Pegasus 40 reps the past and future of Nike running. Whether you're gearing up for a school track meet, track practice or fun runs (like your gym class mile), this shoe is for runners of all levels. They're breathable so your feet stay cool with every lap. Zoom Air and bouncy foam team up for the cushioning you need to feel comfortable with every stride. It's time to fly!Shown: Coral Chalk/Citron Pulse/Sea Coral/WhiteStyle: DX2498-600",4.7 Stars,98
